---
source: "GaN Data source: C is from heat capacity of 4H-SiC, k was"
author: "Jia"
---

T (K)	rho_cp (J/m³K)	Sz (W/mK)	Sr (W/mK)
4.7700000e+02	3.1417281e+06	2.0754717e+02	2.4170943e+02
4.7800000e+02	3.1454824e+06	2.0711297e+02	2.4120376e+02
4.7900000e+02	3.1492223e+06	2.0668058e+02	2.4070020e+02
4.8000000e+02	3.1529478e+06	2.0625000e+02	2.4019875e+02
4.8100000e+02	3.1566590e+06	2.0582121e+02	2.3969938e+02
4.8200000e+02	3.1603560e+06	2.0539419e+02	2.3920207e+02
4.8300000e+02	3.1640389e+06	2.0496894e+02	2.3870683e+02
4.8400000e+02	3.1677078e+06	2.0454545e+02	2.3821363e+02
4.8500000e+02	3.1713626e+06	2.0412371e+02	2.3772247e+02
4.8600000e+02	3.1750036e+06	2.0370370e+02	2.3723333e+02
4.8700000e+02	3.1786308e+06	2.0328542e+02	2.3674620e+02
4.8800000e+02	3.1822442e+06	2.0286885e+02	2.3626106e+02
4.8900000e+02	3.1858440e+06	2.0245399e+02	2.3577792e+02
4.9000000e+02	3.1894302e+06	2.0204082e+02	2.3529674e+02
4.9100000e+02	3.1930029e+06	2.0162933e+02	2.3481752e+02
4.9200000e+02	3.1965622e+06	2.0121951e+02	2.3434024e+02
4.9300000e+02	3.2001081e+06	2.0081136e+02	2.3386491e+02
4.9400000e+02	3.2036408e+06	2.0040486e+02	2.3339150e+02
4.9500000e+02	3.2071602e+06	2.0000000e+02	2.3292000e+02
4.9600000e+02	3.2106665e+06	1.9959677e+02	2.3245040e+02
4.9700000e+02	3.2141598e+06	1.9919517e+02	2.3198269e+02
4.9800000e+02	3.2176401e+06	1.9879518e+02	2.3151687e+02
4.9900000e+02	3.2211074e+06	1.9839679e+02	2.3105290e+02
5.0000000e+02	3.2245620e+06	1.9800000e+02	2.3059080e+02
5.0100000e+02	3.2280037e+06	1.9760479e+02	2.3013054e+02
5.0200000e+02	3.2314328e+06	1.9721116e+02	2.2967212e+02
5.0300000e+02	3.2348492e+06	1.9681909e+02	2.2921551e+02
5.0400000e+02	3.2382530e+06	1.9642857e+02	2.2876071e+02
5.0500000e+02	3.2416444e+06	1.9603960e+02	2.2830772e+02
5.0600000e+02	3.2450233e+06	1.9565217e+02	2.2785652e+02
5.0700000e+02	3.2483899e+06	1.9526627e+02	2.2740710e+02
5.0800000e+02	3.2517442e+06	1.9488189e+02	2.2695945e+02
5.0900000e+02	3.2550863e+06	1.9449902e+02	2.2651356e+02
5.1000000e+02	3.2584162e+06	1.9411765e+02	2.2606942e+02
5.1100000e+02	3.2617340e+06	1.9373777e+02	2.2562701e+02
5.1200000e+02	3.2650398e+06	1.9335938e+02	2.2518633e+02
5.1300000e+02	3.2683337e+06	1.9298246e+02	2.2474737e+02
5.1400000e+02	3.2716156e+06	1.9260700e+02	2.2431011e+02
5.1500000e+02	3.2748857e+06	1.9223301e+02	2.2387456e+02
5.1600000e+02	3.2781441e+06	1.9186047e+02	2.2344070e+02
5.1700000e+02	3.2813907e+06	1.9148936e+02	2.2300851e+02
5.1800000e+02	3.2846257e+06	1.9111969e+02	2.2257799e+02
5.1900000e+02	3.2878491e+06	1.9075145e+02	2.2214914e+02
5.2000000e+02	3.2910610e+06	1.9038462e+02	2.2172193e+02
5.2100000e+02	3.2942614e+06	1.9001919e+02	2.2129635e+02
5.2200000e+02	3.2974505e+06	1.8965517e+02	2.2087241e+02
5.2300000e+02	3.3006282e+06	1.8929254e+02	2.2045009e+02
5.2400000e+02	3.3037946e+06	1.8893130e+02	2.2002939e+02
5.2500000e+02	3.3069498e+06	1.8857143e+02	2.1961029e+02
