---
source: "Nickel Data source: thermophysical properties of matter vol.4 curve 10 plus curve1"
author: "Jia"
---

T (K)	rho_cp (J/m³K)	S (W/mK)
4.3000000e+02	4.3739134e+06	7.8043120e+01
4.3100000e+02	4.3789534e+06	7.7961052e+01
4.3200000e+02	4.3839934e+06	7.7879105e+01
4.3300000e+02	4.3890334e+06	7.7797277e+01
4.3400000e+02	4.3940734e+06	7.7715568e+01
4.3500000e+02	4.3991134e+06	7.7633977e+01
4.3600000e+02	4.4041534e+06	7.7552504e+01
4.3700000e+02	4.4091934e+06	7.7471148e+01
4.3800000e+02	4.4142334e+06	7.7389909e+01
4.3900000e+02	4.4192734e+06	7.7308785e+01
4.4000000e+02	4.4243134e+06	7.7227777e+01
4.4100000e+02	4.4293534e+06	7.7146882e+01
4.4200000e+02	4.4343934e+06	7.7066100e+01
4.4300000e+02	4.4394334e+06	7.6985430e+01
4.4400000e+02	4.4444734e+06	7.6904871e+01
4.4500000e+02	4.4495134e+06	7.6824423e+01
4.4600000e+02	4.4545534e+06	7.6744085e+01
4.4700000e+02	4.4595934e+06	7.6663858e+01
4.4800000e+02	4.4646701e+06	7.6583741e+01
4.4900000e+02	4.4697559e+06	7.6503734e+01
4.5000000e+02	4.4748417e+06	7.6423837e+01
4.5100000e+02	4.4799275e+06	7.6344049e+01
4.5200000e+02	4.4850133e+06	7.6264367e+01
4.5300000e+02	4.4900991e+06	7.6184792e+01
4.5400000e+02	4.4951850e+06	7.6105321e+01
4.5500000e+02	4.5002708e+06	7.6025953e+01
4.5600000e+02	4.5053566e+06	7.5946689e+01
4.5700000e+02	4.5104424e+06	7.5867529e+01
4.5800000e+02	4.5155282e+06	7.5788472e+01
4.5900000e+02	4.5190847e+06	7.5709518e+01
4.6000000e+02	4.5222588e+06	7.5630667e+01
4.6100000e+02	4.5254330e+06	7.5551918e+01
4.6200000e+02	4.5286071e+06	7.5473271e+01
4.6300000e+02	4.5317812e+06	7.5394724e+01
4.6400000e+02	4.5349553e+06	7.5316279e+01
4.6500000e+02	4.5381295e+06	7.5237933e+01
4.6600000e+02	4.5413036e+06	7.5159687e+01
4.6700000e+02	4.5444777e+06	7.5081540e+01
4.6800000e+02	4.5485134e+06	7.5003493e+01
4.6900000e+02	4.5538414e+06	7.4925545e+01
4.7000000e+02	4.5591694e+06	7.4847696e+01
4.7100000e+02	4.5644974e+06	7.4769944e+01
4.7200000e+02	4.5698254e+06	7.4692290e+01
4.7300000e+02	4.5751534e+06	7.4614731e+01
4.7400000e+02	4.5804814e+06	7.4537267e+01
4.7500000e+02	4.5858094e+06	7.4459898e+01
4.7600000e+02	4.5911374e+06	7.4382623e+01
4.7700000e+02	4.5964654e+06	7.4305443e+01
4.7800000e+02	4.6017934e+06	7.4228358e+01
4.7900000e+02	4.6071214e+06	7.4151368e+01
4.8000000e+02	4.6124494e+06	7.4074474e+01
4.8100000e+02	4.6135150e+06	7.3997674e+01
4.8200000e+02	4.6135150e+06	7.3920967e+01
4.8300000e+02	4.6135150e+06	7.3844353e+01
4.8400000e+02	4.6135150e+06	7.3767830e+01
4.8500000e+02	4.6135150e+06	7.3691399e+01
4.8600000e+02	4.6135150e+06	7.3615058e+01
4.8700000e+02	4.6191528e+06	7.3538809e+01
4.8800000e+02	4.6247905e+06	7.3462651e+01
4.8900000e+02	4.6304283e+06	7.3386583e+01
4.9000000e+02	4.6360661e+06	7.3310607e+01
4.9100000e+02	4.6417038e+06	7.3234721e+01
4.9200000e+02	4.6473416e+06	7.3158925e+01
4.9300000e+02	4.6529794e+06	7.3083218e+01
4.9400000e+02	4.6586171e+06	7.3007600e+01
4.9500000e+02	4.6641491e+06	7.2932070e+01
4.9600000e+02	4.6695222e+06	7.2856629e+01
4.9700000e+02	4.6748954e+06	7.2781275e+01
4.9800000e+02	4.6802685e+06	7.2706009e+01
4.9900000e+02	4.6856417e+06	7.2630831e+01
5.0000000e+02	4.6910148e+06	7.2555740e+01
5.0100000e+02	4.6963880e+06	7.2480737e+01
5.0200000e+02	4.7017611e+06	7.2405820e+01
5.0300000e+02	4.7071343e+06	7.2330991e+01
5.0400000e+02	4.7125074e+06	7.2256248e+01
5.0500000e+02	4.7178806e+06	7.2181591e+01
5.0600000e+02	4.7232537e+06	7.2107021e+01
5.0700000e+02	4.7276008e+06	7.2032536e+01
5.0800000e+02	4.7312638e+06	7.1958136e+01
5.0900000e+02	4.7349268e+06	7.1883821e+01
5.1000000e+02	4.7385898e+06	7.1809590e+01
5.1100000e+02	4.7422528e+06	7.1735442e+01
5.1200000e+02	4.7459158e+06	7.1661379e+01
5.1300000e+02	4.7495788e+06	7.1587399e+01
5.1400000e+02	4.7532418e+06	7.1513502e+01
5.1500000e+02	4.7569048e+06	7.1439689e+01
5.1600000e+02	4.7605678e+06	7.1365960e+01
5.1700000e+02	4.7642308e+06	7.1292314e+01
5.1800000e+02	4.7689647e+06	7.1218751e+01
5.1900000e+02	4.7753050e+06	7.1145271e+01
5.2000000e+02	4.7816454e+06	7.1071875e+01
5.2100000e+02	4.7879857e+06	7.0998560e+01
5.2200000e+02	4.7943260e+06	7.0925328e+01
5.2300000e+02	4.8006663e+06	7.0852178e+01
5.2400000e+02	4.8070066e+06	7.0779110e+01
5.2500000e+02	4.8133470e+06	7.0706122e+01
5.2600000e+02	4.8196873e+06	7.0633215e+01
5.2700000e+02	4.8260276e+06	7.0560389e+01
5.2800000e+02	4.8316660e+06	7.0487643e+01
5.2900000e+02	4.8362516e+06	7.0414978e+01
5.3000000e+02	4.8408372e+06	7.0342394e+01
5.3100000e+02	4.8454227e+06	7.0269890e+01
5.3200000e+02	4.8500083e+06	7.0197466e+01
5.3300000e+02	4.8545939e+06	7.0125122e+01
5.3400000e+02	4.8591795e+06	7.0052857e+01
5.3500000e+02	4.8637650e+06	6.9980672e+01
5.3600000e+02	4.8683506e+06	6.9908565e+01
5.3700000e+02	4.8729362e+06	6.9836538e+01
5.3800000e+02	4.8775218e+06	6.9764589e+01
5.3900000e+02	4.8821073e+06	6.9692718e+01
5.4000000e+02	4.8867799e+06	6.9620926e+01
5.4100000e+02	4.8918005e+06	6.9549212e+01
5.4200000e+02	4.8968211e+06	6.9477577e+01
5.4300000e+02	4.9018418e+06	6.9406019e+01
5.4400000e+02	4.9068624e+06	6.9334540e+01
5.4500000e+02	4.9118830e+06	6.9263139e+01
5.4600000e+02	4.9169036e+06	6.9191816e+01
5.4700000e+02	4.9219242e+06	6.9120571e+01
5.4800000e+02	4.9269448e+06	6.9049404e+01
5.4900000e+02	4.9319654e+06	6.8978314e+01
5.5000000e+02	4.9369861e+06	6.8907301e+01
5.5100000e+02	4.9420067e+06	6.8836366e+01
5.5200000e+02	4.9470273e+06	6.8765507e+01
5.5300000e+02	4.9520479e+06	6.8694725e+01
5.5400000e+02	4.9570685e+06	6.8624018e+01
5.5500000e+02	4.9620891e+06	6.8553388e+01
5.5600000e+02	4.9669454e+06	6.8482833e+01
5.5700000e+02	4.9716922e+06	6.8412353e+01
5.5800000e+02	4.9764390e+06	6.8341949e+01
5.5900000e+02	4.9811857e+06	6.8271620e+01
5.6000000e+02	4.9859325e+06	6.8201367e+01
5.6100000e+02	4.9906793e+06	6.8131188e+01
5.6200000e+02	4.9954260e+06	6.8061085e+01
5.6300000e+02	5.0001728e+06	6.7991057e+01
